Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('NILOTINIB', 'CBR1')",0.02437880911392405,0.0039767326846538885,0.08629985604871017,0.02669203990085737,0.21660174090600812,0.0522831383702114,0.0,0.6825396825396826,0.07692307692307693,0.5429403202328966,0.8183632734530938,0.652321630804077,0.0,0.8974829130061465,0.7215882438183429,3.5498767182119825e-05,0.0,0,0.0,1
"('NILOTINIB', 'HLAE')",0.060180831392405064,0.009816848643813849,0.0540204351866688,0.00890536694039963,0.21660174090600812,0.0522831383702114,0.0,0.6825396825396826,0.07692307692307693,0.74235807860262,0.8233532934131736,0.652321630804077,0.0,0.8974829130061465,0.7122357646016859,3.5498767182119825e-05,0.020026108714103333,0,0.0,1
"('NILOTINIB', 'PSMD3')",0.3635183382278481,0.12300711629963737,0.346143359077071,0.10689128570450142,0.0,0.0,0.0,0.6825396825396826,0.061538461538461535,0.7278020378457059,0.8133732534930139,0.0,0.0,0.8974829130061465,0.6633136942876564,3.5498767182119825e-05,0.0006207749925862951,0,0.0,1
"('NILOTINIB', 'ILF3')",0.0,0.0,0.2759408023073226,0.04685843965383794,0.19884806068315766,0.04799777059897743,0.0,0.6825396825396826,0.061538461538461535,0.0,0.7914171656686627,0.7961494903737258,0.0,0.8974829130061465,0.7516691084256686,3.5498767182119825e-05,0.0,0,0.0,1
"('NILOTINIB', 'PREP')",0.0,0.0,0.105708384681942,0.014192433744675218,0.0,0.0,0.0,0.6825396825396826,0.030769230769230767,0.0,0.7435129740518962,0.0,0.0,0.8974829130061465,0.6657052200305802,3.5498767182119825e-05,0.0,0,0.0,1
"('NILOTINIB', 'PSMD8')",0.3635183382278481,0.12300711629963737,0.346143359077071,0.10689128570450142,0.0,0.0,0.0,0.6825396825396826,0.061538461538461535,0.7278020378457059,0.8133732534930139,0.0,0.0,0.8974829130061465,0.6802239899060009,3.5498767182119825e-05,0.0,0,0.0,1
"('NILOTINIB', 'PSMD7')",0.3635183382278481,0.12300711629963737,0.346143359077071,0.10689128570450142,0.05402326428184377,0.013040088181395544,0.0,0.6825396825396826,0.07692307692307693,0.7292576419213974,0.8143712574850299,0.3680634201585504,0.0,0.8974829130061465,0.6906044289294758,3.5498767182119825e-05,0.0006919647853140811,0,0.0,1
"('NILOTINIB', 'PSMD1')",0.39082278481012656,0.1664921519767774,0.346143359077071,0.1413425666998805,0.02355083447713129,0.005684679783973268,0.0,0.6825396825396826,0.1076923076923077,0.7321688500727802,0.8163672654690619,0.37032842582106457,0.0,0.8974829130061465,0.8222301390340822,3.5498767182119825e-05,0.0,0,0.0,1
"('NILOTINIB', 'PCFT')",0.4195298369620253,0.14943753003319885,0.37974489626662394,0.1294521323941188,0.0,0.0,0.0,0.6825396825396826,0.07692307692307693,0.74235807860262,0.8233532934131736,0.0,0.0,0.8974829130061465,0.6814289928838304,3.5498767182119825e-05,0.0,0,0.0,1
"('TAMOXIFEN', 'BMPR2')",0.0,0.0,0.057602461144047434,0.006449850807918004,0.01942150942289516,0.006042338631845221,0.0,0.4952380952380953,0.030769230769230767,0.0,0.7584830339321357,0.6013590033975085,0.0,0.9480542333426192,0.7097170961995175,0.04215462512783956,0.0,0,0.0,1
